Rk,Squad,Comp,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
88,Toulouse,fr Ligue 1,30,558,393,295,216,47,204,535,38.1,331,4573,1281,28.0,1681,2043,849,448,97,2,351,324,882,717,14
89,Udinese,it Serie A,25,643,395,353,219,71,235,653,36.0,418,6207,1648,26.6,2448,2570,1189,640,178,0,462,369,1012,850,9
90,Union Berlin,de Bundesliga,26,629,369,325,239,65,214,638,33.5,424,5859,1672,28.5,1882,2780,1197,638,145,1,493,417,1046,1093,3
91,Valencia,es La Liga,28,507,339,264,189,54,182,575,31.7,393,5285,1357,25.7,1910,2309,1066,546,139,1,407,376,883,956,10
92,Valladolid,es La Liga,30,610,397,347,221,42,209,671,31.1,462,5729,1518,26.5,2071,2667,991,622,123,2,499,400,1010,1011,12
93,Villarreal,es La Liga,25,575,358,261,258,56,214,624,34.3,410,5597,1540,27.5,1811,2761,1025,589,127,1,462,358,933,992,8
94,Watford,eng Premier League,26,683,429,354,244,85,238,775,30.7,537,6756,1842,27.3,2316,2948,1492,622,155,5,467,405,1088,1098,12
95,Werder Bremen,de Bundesliga,30,635,396,315,237,83,226,632,35.8,406,5840,1672,28.6,2090,2540,1210,580,131,1,449,431,1066,970,10
96,West Ham,eng Premier League,29,720,470,400,253,67,230,763,30.1,533,6464,1795,27.8,2434,2787,1243,634,127,1,507,422,1142,928,11
97,Wolfsburg,de Bundesliga,26,654,402,316,260,78,243,695,35.0,452,6106,1946,31.9,1715,2861,1530,590,96,2,494,382,1036,896,12
98,Wolves,eng Premier League,21,716,423,398,254,64,266,730,36.4,464,6253,1710,27.3,2377,2816,1060,608,128,1,480,425,1141,972,13
